Agency,Parent Agency*,Agency Acronym,Naming Convention,Electronic Reading Room URL,Notes,,
Agricultural Research Service,Agriculture,ARS,FOIA Library,https://www.ars.usda.gov/oc/foia/foia-reference-guide-foia-library/,,,
Air Force,Defense,AF,FOIA Library,http://www.foia.af.mil/Library/,,,
Office on Violence Against Women,Justice,OVW,FOIA Library,https://www.justice.gov/ovw/ovw-freedom-information-act#FOIALibrary,,,
Office of the Pardon Attorney,Justice,OPA,FOIA Library,https://www.justice.gov/pardon/pardon-attorney-foia/foia-library,,,
Army,Defense,,FOIA Library,https://www.foia.army.mil/readingroom/index.aspx,,,
"Bureau of Alcohol, Tobacco, Firearms, and Explosives",DOJ,ATF,FOIA Library,https://www.atf.gov/resource-center/foia-library,,,
Bureau of Engraving and Printing,Treasury,BEP,FOIA Library,https://www.moneyfactory.gov/bepfoialibrary.html,,,
Bureau of Ocean Energy Management,Interior,BOEM,FOIA Library,https://www.boem.gov/FOIA-Library/,,,
Census Bureau,Commerce,USCB,FOIA Library,https://www.census.gov/about/policies/foia/foia_library.html,,,
Coast Guard,DHS,USCG,FOIA Library,https://www.dcms.uscg.mil/Our-Organization/Assistant-Commandant-for-C4IT-CG-6/The-Office-of-Information-Management-CG-61/FOIA-Library/Frequently-Requested-Records/,,,
Community Relations Service,DOJ,CRS,FOIA Library,https://www.justice.gov/crs/crs-electronic-reading-room,,,
Customs and Border Protection ,DHS,CBP,FOIA Library,https://foiarr.cbp.gov/,,,
Defense Contract Management Agency,Defense,DCMA,FOIA Library,https://www.dcma.mil/HQ/FOIA1/library/,,,
Department of Education,Education,Education,FOIA Library,https://www2.ed.gov/policy/gen/leg/foia/readingroom.html,,,
Department of Homeland Security,DHS,DHS,FOIA Library,https://www.dhs.gov/foia-library,,,
Department of Interior,DOI,DOI,FOIA Library,https://www.doi.gov/foia/DOI-FOIA-Library,Lists all FOIA Libraries hosted by DOI,,
Department of Labor,DOL,DOL,FOIA Library,https://www.dol.gov/dol/foia/readroom.htm,Compilation of all DOL FOIA documents,,
Department of Veterans Affairs - Office of Privacy and Records Management,,"VA, OPRM",FOIA Library,https://www.oprm.va.gov/foia/foia_library.aspx,,,
Drug Enforcement Administration,DOJ,DEA,FOIA Library,https://www.dea.gov/FOIA/FOIA_library.shtml,,,
Executive Office for  Attorneys,DOJ,,FOIA Library,https://www.justice.gov/usao/resources/foia-library,,,
Federal Aviation Administration,Transportation,FAA,FOIA Library,https://www.faa.gov/foia/electronic_reading_room/,,,
Federal Emergency Management Agency,DHS,FEMA,FOIA Library,https://www.fema.gov/foia-publications,,,
Foreign Claims Settlement Commission,DOJ,FCSC,FOIA Library,https://www.justice.gov/fcsc/foia-library,,,
Immigration & Customs Enforcement,DHS,ICE,FOIA Library,https://www.ice.gov/foia/library,,,
Internal Revenue Service,Treasury,IRS,FOIA Library,https://www.irs.gov/privacy-disclosure/foia-library,,,
National Guard Bureau,Defense,NGB,FOIA Library,https://www.nationalguard.mil/Resources/FOIA/Library/,,,
National Institutes of Health,Health & Human Services,NIH,FOIA Library,https://www.ihs.gov/FOIA/readingroom/,,,
National Park Service,Interior,NPS,FOIA Library,https://www.nps.gov/aboutus/foia/foia-reading-room.htm,,,
National Railroad Passenger Corporation,Independent,AMTRAK,FOIA Library,https://www.amtrak.com/foia,,,
National Security Division,Justice,NSD,FOIA Library,https://www.justice.gov/nsd/nsd-foia-library,,,
Office of Information Policy,DOJ,OIP,FOIA Library,https://www.justice.gov/oip/foia-library,,,
Office of Management and Budget,Executive Office of the President (EOP),OMB,FOIA Library,https://www.whitehouse.gov/omb/freedom-information-act-foia/,,,
Office of Professional Responsibility,DOJ,OPR,FOIA Library,https://www.justice.gov/opr/OPR-FOIA/opr-electronic-reading-room,,,
Office of Science and Technology Policy,Exec Office Pres,OSTP,FOIA Library,https://www.whitehouse.gov/ostp/legal/,,,
Office of Surface Mining,Interior,OSM,FOIA Library,https://www.doi.gov/foia/DOI-FOIA-Library,In DOI Library,,
Office of the Inspector General,Interior,OIG,FOIA Library,https://www.doioig.gov/complaints/FOIA/oig-foia-library,,,
Office of the Secretary,Interior,OS,FOIA Library,https://www.doi.gov/foia/os,,,
Office of the US Trade Representative,Executive Office of the President (EOP),USTR,FOIA Library,https://ustr.gov/about-us/reading-room/freedom-information-act-foia/foia-library,,,
Privacy and Civil Liberties Oversight Board,PCLOB,PCLOB,FOIA Library,https://www.pclob.gov/foia/,,,
Securities and Exchange Commission,Independent,SEC,FOIA Library,https://www.sec.gov/page/foia-library,,,
Treasury Inspector General for Tax Administration,Treasury,TIGTA,FOIA Library,https://www.treasury.gov/tigta/important_foia_err.shtml,,,
Agency for International Development,Independent,USAID,FOIA Library,https://foiarequest.usaid.gov/app/ReadingRoom.aspx,,,
U.S. Parole Commission,Justice,USPC,FOIA Library,https://www.justice.gov/uspc/freedom-information-act-foia/foia-library,,,
Office of the Attorney General,Justice,,FOIA Library,https://www.justice.gov/oip/available-documents-oip,,,
Office of the Deputy Attorney General,Justice,,FOIA Library,https://www.justice.gov/oip/available-documents-oip,,,
Office of the Associate Attorney General,Justice,,FOIA Library,https://www.justice.gov/oip/available-documents-oip,,,
Office of Legal Policy,Justice,,FOIA Library,https://www.justice.gov/oip/available-documents-oip,,,
Office of Legislative Affairs ,Justice,,FOIA Library,https://www.justice.gov/oip/available-documents-oip,,,
Office Public Affairs,Justice,,FOIA Library,https://www.justice.gov/oip/available-documents-oip,,,
Department of Health and Human Services,HHS,HHS,FOIA Library / Electronic Reading Room,https://www.hhs.gov/foia/electronic-reading-room/index.html,,,
